Name,Lat,Long,Phone Number,Address
Original Joe’s.,,,None,
Colony Northwoods,49.3053785,-123.01780280000003,None,
Me-n-Ed’s Pizza Parlor.,,,None,
Tap  Barrel.,,,None,
Original Joe’s.,,,None,
Colony Northwoods,49.3053785,-123.01780280000003,None,
Me-n-Ed’s Pizza Parlor.,,,None,
Tap  Barrel.,,,None,
Original Joe’s.,,,None,
Colony Northwoods,49.3053785,-123.01780280000003,None,
TUC Craft Kitchen,49.2826445,-123.1060592,(604) 559-8999,60 W Cordova St Vancouver BC Canada
Fortune House Seafood Restaurant,49.2262523,-123.0015262,(604) 438-8686,2199A\xe2\x80\x934700 Kingsway Metropolis at Metrotown Burnaby BC V5H 4M1
Tap  Barrel,49.3103768,-123.07992309999997,,8 Lonsdale Avenue North Vancouver BC Canada
Cafe Medina,49.280408,-123.11686480000003,(604) 879-3114,780 Richards Street Vancouver BC Canada
Craft Beer Market,49.27048749999999,-123.10634600000003,(604) 709-2337,85 West 1st Avenue Vancouver BC V5Y 3K8 Canada
Tap  Barrel,49.2716376,-123.10539399999999,(604) 685-2223,1 Athletes Way Vancouver BC Canada
Milestones Grill and Bar – Cambie,49.2639064,-123.11513209999998,(604) 678-8488,2425 Cambie St Vancouver BC V5Z 4M5 Canada
Brix  Mortar,49.27579739999999,-123.122231,(604) 915-9463,1138 Homer St Vancouver BC Canada
Tavola,49.2919048,-123.13568470000001,(604) 606-4680,1829 Robson Street Vancouver BC Canada
Tap  Barrel,49.2903197,-123.11749839999999,,1055 Canada Place #76 Vancouver BC Canada
Belgard Kitchen,49.2843189,-123.09539330000001,(604) 699-1989,55 Dunlevy Avenue Vancouver BC Canada
Fable,49.2678528,-123.149002,(604) 732-1322,1944 West 4th Avenue Vancouver BC Canada
Nook – Kitsilano,49.2722122,-123.15533770000002,(604) 734-0099,1525 Yew Street Vancouver BC Canada
The Oakwood Canadian Bistro,49.2685633,-123.16725759999997,(604) 558-1965,2741 W 4th Ave Vancouver BC Canada
Aphrodite’s Organic Cafe,49.2686219,-123.1837238,(604) 733-8308,3605 West 4th Avenue Vancouver BC Canada
El Camino’s,49.25617039999999,-123.10101470000001,(604) 875-6246,3250 Main St Vancouver BC V5V 3M6 Canada
The Mackenzie Room,49.2831997,-123.09489009999999,(604) 253-0705,415 Powell Street Vancouver BC Canada
The Union,49.2777797,-123.0989601,(604) 568-3230,219 Union Street Vancouver BC Canada
The Cascade Room,49.2617261,-123.10078479999999,(604) 709-8650,2616 Main Street Vancouver British Columbia Canada
Meet In Gastown,49.28350459999999,-123.1047979,(604) 688-3399,12 Water St Vancouver BC Canada
Meet on Main,49.246713,-123.1008309,(604) 877-1292,4288 Main St Vancouver BC Canada
Sun Bo Kong Vegetarian Restaurant,49.250878,-123.07691210000002,(604) 255-8927,1363 Kingsway Vancouver BC Canada
The Greek By Anatoli,49.2762117,-123.1198819,(604) 979-0700,1043 Mainland Street Vancouver BC Canada
Anatoli Souvlaki,49.310789,-123.08026100000001,(604) 985-9853,5 Lonsdale Avenue North Vancouver BC Canada
Jam Jar,49.2643762,-123.06954830000001,(604) 252-3957,2280 Commercial Drive Vancouver BC Canada
Trading Post Brewing Taphouse  Eatery,49.1685641,-122.57995110000002,(604) 343-2337 ,9143 Glover Rd Langley BC V1M 2S5 Canada
Nook – West End,49.29173650000001,-123.1353449,(604) 568-4554,781 Denman Street Vancouver BC Canada
The Dirty Apron,49.2806503,-123.10932780000002,(604) 879-8588,540 Beatty Street Vancouver BC Canada
The Acorn,49.24964480000001,-123.1010786,(604) 566-9001,3995 Main Street Vancouver BC Canada
Torafuku,49.275866,-123.099782,(778) 903-2006,958 Main Street Vancouver BC Canada
Pidgin,49.28154199999999,-123.10431690000001,(604) 620-9400,350 Carrall Street Vancouver BC Canada
The Portside Pub,49.2834917,-123.10371140000001,(604) 559-6333,7 Alexander Street Vancouver BC V6A 1E9 Canada
The Apron,49.1903933,-123.13389039999998,(604) 238-2105,3099 Corvette Way Richmond BC Canada
Eight 1/2 Restaurant Lounge,49.2638268,-123.10167990000002,(604) 568-2703,151 E 8th Ave Vancouver BC Canada
