Name,Variety,Image Path,Recommended?,Method,Location,Rating
Abalone,Abalone,./images/abalone.png,Ocean Wise Recommended,Farmed,International,3.5
Alfonsino,Alfonsino,./images/alfonsino.png,Ocean Wise Recommended,Wild,New Zealand (management areas BYX1 and BYX2),3.0
Anchovy,European anchovy,./images/anchovy.png,Not Recommended,Wild,"Mediterranean Sea, Black Sea",2.0
Anglerfish,,./images/anglerfish.png,Ocean Wise Recommended,Wild,Iceland,
Barnacle,Gooseneck barnacle,./images/barnacle.png,Ocean Wise Recommended,Wild,British Columbia,4.7
Barramundi,Barramundi,./images/barramundi.png,Ocean Wise Recommended,Farmed,"Van Phong Bay, Vietnam",3.4
Bass,Hybrid striped bass,./images/bass.png,Ocean Wise Recommended,Farmed,US,3.4
Black Sea Bass,"Atlantic Seabass, Black Perch, Chub, Rock Bass, Seabass, Tallywag",./images/blackseabass.png,Ocean Wise Recommended,Wild,"US Southern Mid-Atlantic, US Northern Mid Atlantic",3.8
Bluefish,Bluefish,./images/bluefish.png,Ocean Wise Recommended,Wild,Northern Atlantic US,4.3
Bluenose,"Antarctic butterfish, deepsea trevalla, bluenose seabass",./images/bluenose.png,Not Recommended,Wild,New Zealand,2.3
Capelin,"Smelt, smelt roe, masago",./images/capelin.png,Ocean Wise Recommended,Wild,"Canada: Gulf of St. Lawrence (4RST), Canada: North Atlantic (NAFO 2J3KLPs)",3.0
Carp,Carp,./images/carp.png,Ocean Wise Recommended,Farmed,Worldwide,
Catfish,Channel catfish,./images/catfish.png,Ocean Wise Recommended,Farmed,US,3.8
Caviar/Roe,Shortnose sturgeon,./images/caviarroe.png,Ocean Wise Recommended,Farmed,"Canada, New Brunswick",3.4
Char,Arctic char,./images/char.png,Ocean Wise Recommended,Wild,Canada: Nunavut: Cambridge Bay,3.5
Chilean Seabass,Patagonian toothfish,./images/chileanseabass.png,Ocean Wise Recommended,Wild,Heard Island and McDonald islands,1.9
Clams,Geoduck,./images/clams.png,Ocean Wise Recommended,Farmed,"Washington State, USA &amp; British Columbia, Canada",3.1
Cobia,Cobia,./images/cobia.png,Ocean Wise Recommended,Wild,"US Atlantic, US Gulf of Mexico",3.5
Cockle,Cockle,./images/cockle.png,Ocean Wise Recommended,,New Zealand,3.5
Cod,"Pacific cod, grey cod",./images/cod.png,Ocean Wise Recommended,Wild,"California, Oregon, Washington",3.1
Conch,"Queen conch, Pink conch",./images/conch.png,Ocean Wise Recommended,Wild,Caribbean Sea: US Virgin Islands,2.8
Crab,Southern Tanner Crab,./images/crab.png,Ocean Wise Recommended,Wild,Alaska Bering Sea,4.4
Crayfish,"Crayfish (Crawfish, Crawdad)",./images/crayfish.png,Ocean Wise Recommended,Farmed,US,3.8
Croaker,Atlantic croaker,./images/croaker.png,Ocean Wise Recommended,Wild,US Atlantic Ocean,3.0
Dab,Atlantic croaker,./images/dab.png,,,,
Drum,Red drum,./images/drum.png,Ocean Wise Recommended,Farmed,"Texas, US",3.4
Eel,"American eel (Freshwater eel, unagi)",./images/eel.png,Not Recommended,Farmed,"South Korea, Japan, Taiwan, China",0.5
Eulachon,Eulachon,./images/eulachon.png,Not Recommended,Wild,BC,2.3
Flounder,Arrowtooth flounder,./images/flounder.png,Ocean Wise Recommended,Wild,"Alaska, California, Washington, Oregon",3.3
Greenling,Kelp greenling,./images/greenling.png,Not Recommended,Wild,"Oregon, Washington, California",2.7
Grenadier,Pacific grenadier,./images/grenadier.png,Ocean Wise Recommended,Wild,California,3.1
Grouper,Black grouper,./images/grouper.png,Ocean Wise Recommended,Wild,"S. Atlantic, Gulf of Mexico",3.2
Haddock,Haddock,./images/haddock.png,Ocean Wise Recommended,Wild,US - Georges Bank,2.9
Hake,Offshore hake,./images/hake.png,Ocean Wise Recommended,Wild,US Atlantic,2.8
Halibut,Atlantic halibut,./images/halibut.png,Ocean Wise Recommended,Farmed,Worldwide,3.5
Herring,"Atlantic herring (""sardines"", pilchard)",./images/herring.png,Ocean Wise Recommended,Wild,US N. Atlantic,4.4
Hogfish,hogfish,./images/hogfish.png,Ocean Wise Recommended,Wild,"Florida Gulf of Mexico, South Carolina",3.1
