Name,Category,Phone Number,Address,Postal Code,Website
Flying Fish N Chipper,Food Truck,778-688-5494,"400 Industrial Avenue, Vancouver, British Columbia","V6A 2P3, Canada",http://streetfoodapp.com/vancouver/flying-fish-n-chipper
Coastline Market,Supplier,,"111 East 5th Avenue, Vancouver, British Columbia","V5T 4L1, Canada",https://www.coastlinemarket.com/
Dubh Linn Gate Irish Pub,Restaurant,(604) 339-5804,"1601 Main Street, Vancouver, British Columbia","V6A2W5, Canada",http://vancouver.dubhlinngate.com/
Tractor - Olympic Village,Restaurant,,"1751 Quebec Street, Vancouver, British Columbia","V5T 1B4, Canada",http://tractorfoods.com/
Buy-Low Foods East Broadway,Retail Market,604-872-5776,"370 East Broadway, Vancouver, British Columbia","V5T 4G8, Canada",http://www.buy-lowfoods.com/
Fable Diner,Restaurant,(604) 563-3463,"151 East Broadway, Vancouver, British Columbia","V5T 1W2, Canada",http://fablediner.com/
Noodlebox (Mount Pleasant),Restaurant,(604) 336-5010,"2511 Main Street, Vancouver, British Columbia","V5T 3E5, Canada",http://www.noodlebox.ca/
The Cascade Room,Restaurant,(604) 709-8650,"2616 Main Street, Vancouver, British Columbia","V5T3E6, Canada",http://www.thecascade.ca
Terra Breads - 5th Ave.,Restaurant,(604) 873-8111,"53 West 5th Avenue, Vancouver, British Columbia","V5Y 1H4, Canada",http://www.terrabreads.com
Urban Fare False Creek,Retail Market,,"1688 Salt Street, Vancouver, British Columbia","V5Y 0E4, Canada",
Burdock  Co.,Restaurant,(604) 879-0077,"2702 Main St, Vancouver, British Columbia","V5T 3E8, Canada",http://burdockandco.com/
CRAFT Beer Market (Vancouver),Restaurant,(604) 709-2337,"Salt Building 85 West 1st Ave, Vancouver, British Columbia","V5Y 0B8, Canada",http://www.craftbeermarket.ca/
Bodega on Main,Restaurant,(604) 418-0813,"1014 Main Street, Vancouver, British Columbia","V6A2W1, Canada",bodegaonmain.ca
Torafuku,Restaurant,(778) 903-2006,"958 Main Street, Vancouver, British Columbia","M5M 3A3, Canada",http://torafuku.ca/
Terra Breads - The Village False Creek,Restaurant,,"1605 Manitoba Street, Vancouver, British Columbia","V5Y 0B5, Canada",http://www.terrabreads.com
Martini's Restaurant,Restaurant,(604) 873-0021,"151 West Broadway, Vancouver, British Columbia","V5Y 1P4, Canada",http://www.martinis.ca/
Edible Planet Catering,Catering,(604) 254-7777,"727 Princess Avenue, Vancouver, British Columbia","V6A 3E4, Canada",http://www.edibleplanet.ca/ep/Welcome_To_Edible_Planet.html
Save on Foods (Main Street),Retail Market,(604) 873-8377,"2949 Main Street, Vancouver, British Columbia","V5T 3G4, Canada",https://www.saveonfoods.com/
MarketPlace IGA (Vancouver - Main),Retail Market,(604) 873-8377,"2949 Main St, Vancouver, British Columbia","V5T 3G4, Canada",http://www.marketplaceiga.com/
The Union,Restaurant,(604) 802-1126,"219 Union Street, Vancouver, British Columbia","V6A 2B2, Canada",http://www.theunionvancouver.ca/
Big Rock Urban Eatery,Restaurant,(604) 999-7370,"310 West 4th Avenue, Vancouver, British Columbia","V5Y 1G9, Canada",http://bigrockurban.com/
Floata Seafood Restaurant 富大海鮮酒家,Restaurant,(778) 823-0216,"400-180 Keefer Street, Vancouver, British Columbia","V6A 4E9, Canada",http://www.floata.com/
Edge Cafe  Edgeceptional Catering,Catering,(604) 351-3746,"2450 Yukon St, Vancouver, British Columbia","V5Y 0A4, Canada",
Canadian Fishing Company,Supplier,(604) 639-2383,"Foot of Gore Avenue, Vancouver, British Columbia","V6A 2Y7, Canada",http://www.canfisco.com/
Dollar Food Mfg. Inc.,Supplier,(604) 253-1422,"1410 Odlum Drive, Vancouver, British Columbia","V5L4X7, Canada",
WestCoast Poké,Restaurant,(604) 362-2383,"463 West 8th Avenue, Vancouver, British Columbia","V5Y 3Z5, Canada",
Save on Foods (Cambie),Retail Market,(604) 876-7005,"2308 Cambie Street, Vancouver, British Columbia","V5Z 2T8, Canada",https://www.saveonfoods.com/
Savoury Chef Foods,Catering,(604) 357-7118,"1175 Union Street, Vancouver, British Columbia","V6A 2C7, Canada",
Triple O's (Griffiths Way),Restaurant,,"10-800 Griffiths Way, Vancouver, British Columbia","V6B 6G1, Canada",
1886 at JW Marriott Parq Vancouver,Restaurant,778-370-8500,"39 Smithe Street, Vancouver, British Columbia","V6B 0R3, Canada",http://www.parqvancouver.com/restaurants/1886-2/
The Victor (Parq Vancouver),Restaurant,778-370-8600,"39 Smithe Street , Vancouver, British Columbia","V6B 0R3, Canada",http://www.parqvancouver.com/restaurants/the-victor/
Honey Salt at JW Marriott Parq Vancouver,Restaurant,778-370-8200,"39 Smithe Street , Vancouver, British Columbia","V6B 0R3, Canada",http://www.parqvancouver.com/restaurants/honey-salt/
BC Kitchen at JW Marriott Parq Vancouver,Restaurant,778-370-8300,"39 Smithe Street , Vancouver, British Columbia","V6B 0R3, Canada",http://www.parqvancouver.com/restaurants/bc-kitchen/
La Taqueria - Cambie,Restaurant,(604) 558-2549,"2549 Cambie St, Vancouver, British Columbia","V5Z 3Y6, Canada",http://www.lataqueria.com/
BC Place Stadium,Food Services,(604) 661-7236,"777 Pacific Boulevard, Vancouver, British Columbia","v6b4y8, Canada",
Calabash Bistro,Restaurant,(604) 568-5882,"428 Carrall St, Vancouver, British Columbia","V6A 0A7, Canada",http://calabashbistro.com/
Picnix,Catering,(778) 889-7706,"524 Powell St, Vancouver, British Columbia","V6A 3B3, Canada",http://www.picnix.ca/
Cactus Club (Broadway  Ash),Restaurant,(604) 714-6000,"575 West Broadway, Vancouver, British Columbia","V5Z 1E6, Canada",http://www.cactusclubcafe.com/
Chambar,Restaurant,(604) 879-7119,"562 Beatty Street, Vancouver, British Columbia","V6B 2L3, Canada",http://www.chambar.com/
Chef Claire's Home is in the Kitchen Inc.,Catering,(604) 875-6400,"3610 Main Street, Vancouver, British Columbia","V5V 3N5, Canada",http://www.chefclaires.com/
Pink Pearl Chinese Restaurant 珠城大酒樓,Restaurant,604-253-4316,"1132 East Hastings Street, Vancouver, British Columbia","V6A 1S2, Canada",http://www.pinkpearl.com/
Frankie's Italian Kitchen  Bar - Vancouver,Restaurant,(604) 688-6368,"765 Beatty St, Vancouver, British Columbia","V6B 2M4, Canada",http://www.frankiesitaliankitchen.ca
Tacomio,Restaurant,(604) 240-5196,"435 abbott st, Vancouver, British Columbia","V6b3n9, Canada",Http://www.tacomio.ca
Tacofino Gastown Taco Bar,Restaurant,,"15 West Cordova, Vancouver, British Columbia","V6B 1C8, Canada",https://www.tacofino.com
Ricky's All Day Grill - Dunsmuir,Restaurant,(604) 602-9233,"1 - 111 Dunsmuir St., Vancouver, British Columbia","V6B 6A3, Canada",http://gotorickys.com/
Moxie's Grill and Bar (West Georgia),Restaurant,(604) 684-8434,"180 West Georgia, Vancouver, British Columbia","V6B 4P4, Canada",http://www.moxies.ca/
The Belgard Kitchen,Restaurant,604.699.1989,"The Settlement Building, 55 Dunlevy Avenue, Vancouver, British Columbia","V6A 3A3, Canada",http://belgardkitchen.com/
Noodlebox (Gastown),Restaurant,(604) 559-1775,"108 West Hastings, Vancouver, British Columbia","V6B 1G8, Canada",http://www.noodlebox.ca/
TUC CRAFT KITCHEN,Restaurant,(604) 559-8999,"60 West Cordova st, Vancouver, British Columbia","V6B 1C9, Canada",http://www.tucrestaurant.com
Tatsu Japanese Bistro,Restaurant,(604) 558-2285,"1441 Commercial Drive, Vancouver, British Columbia","V5L 3X8, Canada",http://www.tatsubistro.com
La Mezcaleria,Restaurant,(604) 790-4266,"1622 Commercial Dr, Vancouver, British Columbia","V5L 3Y4, Canada",http://www.lamezcaleria.ca/
Cabrito - Tapas Bebidas,Restaurant,(604) 620-7636,"2270 Commercial Drive, Vancouver, British Columbia","V5N 5P9, Canada",http://www.cabrito.ca
Fanny Bay Oyster Bar,Restaurant,(604) 369-2955,"762 Cambie St, Vancouver, British Columbia","V6B 2R5, Canada",http://www.fannybayoysters.com/
The Alibi Room,Restaurant,(604) 561-2417,"157 Alexander Street, Vancouver, British Columbia","V6A 1B8, Canada",http://www.alibi.ca/
Vij's Restaurant,Restaurant,(604) 736-6664,"3106 Cambie Street, Vancouver, British Columbia","V5Z 2W2, Canada",http://www.vijs.ca/
Smokey Bay Seafood Company Ltd.,Supplier,(604) 568-4310,"896 Cambie Street, Vancouver, British Columbia","V6B 2P4, Canada",http://www.smokeybay.com/
Mac’s Oysters Ltd.,Supplier,(604) 688-3805,"309 - 896 Cambie Street, Vancouver, British Columbia","V6B 2P6, Canada",http://www.macsoysters.com/
Jamjar,Restaurant,(604) 252-3957,"2280 Commercial Drive, Vancouver, British Columbia","V5N 4B5, Canada",http://www.jamjaronthedrive.com/
